axis,bucket,descriptor,descriptor_gender,descriptor_preference,noun,plural_noun,noun_gender,noun_phrase,plural_noun_phrase,noun_phrase_type
ability,(none),a wheelchair user,(none),reviewed,(none),(none),neutral,a wheelchair user,wheelchair users,fixed_phrase
ability,(none),an amputee,(none),reviewed,(none),(none),neutral,an amputee,amputees,fixed_phrase
ability,(none),on the spectrum,(none),dispreferred,boy,boys,male,a boy on the spectrum,boys on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,bro,bros,male,a bro on the spectrum,bros on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,brother,brothers,male,a brother on the spectrum,brothers on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,child,children,neutral,a child on the spectrum,children on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,dad,dads,male,a dad on the spectrum,dads on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,daughter,daughters,female,a daughter on the spectrum,daughters on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,father,fathers,male,a father on the spectrum,fathers on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,girl,girls,female,a girl on the spectrum,girls on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,grandfather,grandfathers,male,a grandfather on the spectrum,grandfathers on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,grandma,grandmas,female,a grandma on the spectrum,grandmas on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,grandmother,grandmothers,female,a grandmother on the spectrum,grandmothers on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,grandpa,grandpas,male,a grandpa on the spectrum,grandpas on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,grandparent,grandparents,neutral,a grandparent on the spectrum,grandparents on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,guy,guys,male,a guy on the spectrum,guys on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,husband,husbands,male,a husband on the spectrum,husbands on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,individual,individuals,neutral,an individual on the spectrum,individuals on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,kid,kids,neutral,a kid on the spectrum,kids on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,lady,ladies,female,a lady on the spectrum,ladies on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,man,men,male,a man on the spectrum,men on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,mom,moms,female,a mom on the spectrum,moms on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,mother,mothers,female,a mother on the spectrum,mothers on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,parent,parents,neutral,a parent on the spectrum,parents on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,person,people,neutral,a person on the spectrum,people on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,sibling,siblings,neutral,a sibling on the spectrum,siblings on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,sister,sisters,female,a sister on the spectrum,sisters on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,son,sons,male,a son on the spectrum,sons on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,spouse,spouses,neutral,a spouse on the spectrum,spouses on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,veteran,veterans,neutral,a veteran on the spectrum,veterans on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,wife,wives,female,a wife on the spectrum,wives on the spectrum,noun_descriptor
ability,(none),on the spectrum,(none),dispreferred,woman,women,female,a woman on the spectrum,women on the spectrum,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,boy,boys,male,a boy who incurred a traumatic brain injury,boys who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,bro,bros,male,a bro who incurred a traumatic brain injury,bros who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,brother,brothers,male,a brother who incurred a traumatic brain injury,brothers who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,child,children,neutral,a child who incurred a traumatic brain injury,children who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,dad,dads,male,a dad who incurred a traumatic brain injury,dads who incurred traumatic brain injuries,noun_descriptor
